type,title,location,site_visit_date,ROM,solicitationNumber,department,typeOfSetAsideDescription,responseDeadLine,postedDate,naicsCode,active,organizationType,fullParentPathName,uiLink,archiveDate,fullParentPathCode,typeOfSetAside,Queried_NAICS,resourceLinks,additionalInfoLink,award,baseType
Solicitation,"Fort Sam Houston National Cemetery, Phase 3 Expansion - Additional Road Repairs","San Antonio, Texas",,"$1,000,000 and $2,000,000 | $1,000,000 | $2,000,000",36C10F26B0001,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-30T14:00:00-04:00,2026-05-28,237310,Yes,OFFICE,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.OFFICE OF CONSTRUCTION &  FACILITIES MGMT (36C10F)",https://sam.gov/workspace/contract/opp/bdf7be79b5194995a86699c576002b5a/view,2026-07-15,036.3600.36C10F,SDVOSBC,237310,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/10e75a06da654900928bbc101b5d197e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2bf70e9e8da243a08be7ee436fd953de/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5ef66ac42ee949e5832749540d67ea95/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a1a4702f4c5b4237982f3e065b0c620e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a670178211474d1390a3d70094af68a0/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d3a5dccda8c84f96afb518aee82d80a4/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/fc5a0306206945c78e84035b0c6b3896/download']",,,Presolicitation
Solicitation,Marine Corps Base Camp Pendleton (MCBCP) Base Operations Support Contract (BOSC),"Oceanside, California",,$47 Million,N6247324R0036,,Total Small Business Set-Aside (FAR 19.5),2026-06-11T14:00:00-07:00,2026-06-03,561210,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SOUTHWEST SW.NAVFACSYSCOM SOUTHWEST,https://sam.gov/workspace/contract/opp/d44ba75b3b8c41cca7155aafd82b40f1/view,2026-12-11,017.1700.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SW.N62473,SBA,561210,,,{'awardee': {'manual': False}},Solicitation
Solicitation,Facility Maintenance Management and Services,Not Specified,,,N6247326R0039,,Total Small Business Set-Aside (FAR 19.5),2026-05-15T14:00:00-07:00,2026-05-08,561210,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SOUTHWEST SW.NAVFACSYSCOM SOUTHWEST,https://sam.gov/workspace/contract/opp/5eff9b9932dd4a1f9421c750318a2850/view,2027-05-08,017.1700.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SW.N62473,SBA,561210,['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/43d413d0c4f44852843c447b72b45ee3/download'],,,Solicitation
Solicitation,Z--Steel Pole Foundations IDIQ UGP/RMR,Not Specified,,,89503426BWA000064,,Total Small Business Set-Aside (FAR 19.5),2026-05-20T16:00:00-05:00,2026-05-12,237130,Yes,OFFICE,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-UPPER GREAT PLAINS REGION",https://sam.gov/workspace/contract/opp/d1b838eb4c604737b79c1c17d0abfc0a/view,2026-06-04,089.8900.895034,SBA,237130,,,,Solicitation
Solicitation,63--PEARL - FY26 REPLACEMENT 6 FIRE ALARM PANELS,Not Specified,,,140P8226Q0038,,Total Small Business Set-Aside (FAR 19.5),2026-06-01T14:30:00-04:00,2026-05-27,238210,Yes,OFFICE,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.ALASKA REGIONAL OFFICE(97000)",https://sam.gov/workspace/contract/opp/a87e21f836f44d689865607ca1dc7328/view,2026-06-16,014.1443.140P97,SBA,238210,,,,Solicitation
Solicitation,Parachute/ Airborne Boat and Dive Operations Services,"Camp Lejeune, North Carolina",,,M6700126Q0052,,Total Small Business Set-Aside (FAR 19.5),2026-05-20T13:00:00-04:00,2026-05-13,561210,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE NAVY.USMC.MARCORP I&L.MARINE CORPS INSTALLATIONS COMMAND.MCIEAST.COMMANDING GENERAL,https://sam.gov/workspace/contract/opp/d947ee5b1b1e4ed0ac4ff6bf6bf5d091/view,2026-06-04,017.1700.USMC.MARCORP I&L.MCICOM.MCIEAST.M67001,SBA,561210,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/1f79951d3cef4165a1c99e823e449e8e/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4988754153f24605b9d651ced4f85901/download']",,,Solicitation
Solicitation,Dorm Receptacles,"Goldsboro, North Carolina",,,FA480926Q0030,,Total Small Business Set-Aside (FAR 19.5),2026-05-21T10:00:00-04:00,2026-05-15,238210,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR COMBAT COMMAND.FA4809  4TH CONS SQ CC,https://sam.gov/workspace/contract/opp/cbbc1fe702e842b8b5cb8a8de504d25b/view,2026-06-05,057.5700.ACC.FA4809,SBA,238210,,,,Solicitation
Solicitation,LTUY252022 Repair B37 MTS by Removal,"Saint Louis, Missouri",,,W50S8K26QA001,,Total Small Business Set-Aside (FAR 19.5),2026-05-27T10:00:00-05:00,2026-05-20,238210,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO MO.USPFO MO PROCUREMENT.W7NJ USPFO ACTIVITY MOANG 131,https://sam.gov/workspace/contract/opp/2d1da85a60d14f109bfc5572f9c5593a/view,2026-06-11,021.2100.NGB.JFHQ USPFO MO.USPFO MO PROC.W50S8K,SBA,238210,,,,Solicitation
Solicitation,B-52J Commercial Engine Replacement Program Airfield Runway/Taxiway Light Removal and Replacement,"DWG, Texas",,,FA301626Q0118,,Total Small Business Set-Aside (FAR 19.5),2026-06-05T11:00:00-05:00,2026-05-29,238210,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR EDUCATION AND TRAINING COMMAND.JOINT BASE SAN ANTONIO.FA3016  502 CONS CL,https://sam.gov/workspace/contract/opp/7a4aeccfe4c24c63967c0d0a374425a6/view,2026-06-20,057.5700.AETC.JBSA.FA3016,SBA,238210,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4639ff31a9134d559e3e3fec4f7b165d/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8526a8c54c25430b9c558569bf7f1a87/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8b1ac5b5b96747b8b5cb58109b5c2b5a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c7e05e080bd74f68ab7ab079bc8873e9/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d874443d50244784b38019f4199ffc95/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f7a4488348c2438f914b70f0177197cf/download']",,,Solicitation
Solicitation,N--GC26 SCADA UPS REPLACEMENT,Not Specified,,,140R4026R0006,,Total Small Business Set-Aside (FAR 19.5),2026-06-26T09:00:00-04:00,2026-06-17,238210,Yes,OFFICE,"INTERIOR, DEPARTMENT OF THE.BUREAU OF RECLAMATION.UPPER COLORADO REGIONAL OFFICE",https://sam.gov/workspace/contract/opp/b78584ed181b4e2aabd748e28da7e69e/view,2026-07-11,014.1425.140R40,SBA,238210,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/03df14b34ac34dc4bd7630b17d217f66/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/145a7134ce6c47fb93344c1bc2f1dc3b/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/268f24a8f3b8462ab2de2c24e5b71ea5/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/30ae0d05bab046c9b911dce0ebac301c/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3292c013bfe442e7b5ded79de71b8689/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/468c53eaf7b84ce084ef15114cb6c836/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4888f13aa5614e9c9654ab39288286d7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4e1137c8b66345c39ffe03f2be452827/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5a870e531ccd4244918bb2a95c02a21a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6bcf0af746464a26a53b226f2d0e9341/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7fb501cdfd584545b06a1e6703989a14/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/829662b802a241a2bcb52ec42eac9a96/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8c008aba4c0044f3aeec8f67d6bb6493/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a0a93c3e3e354ab19ebbfc0be1ebc5dc/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a190c61556bf46609f49f30d97ce6d44/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b19b6209e799420db145de312e0b470c/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/bb68df96f3cc47c4b5f7fb26ba25a980/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e3ed07714bee4753b8aa4a3c075930a5/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ea606f1be674421eabd39fd860c32887/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ebadd86dfe45434da4a3142464208565/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/fe3408325b5f48a1a477851fa79b8041/download']",,,Solicitation
Solicitation,"Base Operations Support (BOS) Maintenance and Service Contract for Naval Air Facility (NAF), El Centro, CA",Not Specified,,,N6247326R0012,,Total Small Business Set-Aside (FAR 19.5),2026-06-03T14:00:00-07:00,2026-05-27,561210,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SOUTHWEST SW.NAVFACSYSCOM SOUTHWEST,https://sam.gov/workspace/contract/opp/98a21ee39cca43fe9e4c197080602320/view,2027-05-27,017.1700.NAVFAC.NAVFAC PACIFIC CMD.NAVFAC SW.N62473,SBA,561210,,,,Solicitation
Solicitation,Y--LAKE - TWO COMMUNICATIONS TOWER INSTALLATION AND O,Not Specified,,,140P8126B0003,,Total Small Business Set-Aside (FAR 19.5),2026-06-03T14:00:00-07:00,2026-05-12,237130,Yes,OFFICE,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.PWR LAME(81000)",https://sam.gov/workspace/contract/opp/eb9720adecc64a7abaa7b370c533c314/view,2026-06-18,014.1443.140P81,SBA,237130,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/47d0a120247d40189b3e4baf3093b713/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/493c7b89582949f0a624e47aecaf2324/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4c7d665fd4a745e4bda659506b28b536/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6b4de4ffa7c24b4c811e9f16a153ca79/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8389225186ed4722b93ae7504a31eb95/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/a148a407b9cd4a34b8ad86702ad6c1a6/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/df05231d619c4eff87b22b8430b6428a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f24f56ea7dae4c578782c7ea71409148/download']",,,Solicitation
Solicitation,99CES - PKA - WT16747339 - Install Lift Station Disconnect B1730,Not Specified,,,FA486126Q0010,,Total Small Business Set-Aside (FAR 19.5),2026-06-03T14:00:00-07:00,2026-05-28,238210,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR COMBAT COMMAND.FA4861  99 CONS LGC,https://sam.gov/workspace/contract/opp/45614b4595a04e7eb4447dcf0dbcb028/view,2027-05-28,057.5700.ACC.FA4861,SBA,238210,,,,Solicitation
Solicitation,"Z--FOLS, Replace Alarm System & Electrical Panel","Larned, Kansas",,,140P6026Q0042,,Total Small Business Set-Aside (FAR 19.5),2026-06-10T12:00:00-05:00,2026-06-04,238210,Yes,OFFICE,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.MWR MIDWEST REGION(60000)",https://sam.gov/workspace/contract/opp/a8b38d24083e40948ac2a3ebc830e058/view,2026-06-25,014.1443.140P60,SBA,238210,,,,Solicitation
Solicitation,Fiber Optic Cable B230 to B9511,Mississippi,,,FA302226Q0009,,Total Small Business Set-Aside (FAR 19.5),2026-06-16T10:00:00-05:00,2026-06-11,238210,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR EDUCATION AND TRAINING COMMAND.FA3022 14 CONS LGCA,https://sam.gov/workspace/contract/opp/d3862d815c1142bea675b00588ee6cde/view,2026-07-01,057.5700.AETC.FA3022,SBA,238210,,,,Solicitation
Solicitation,FY26 TCS MITD Enterprise Classroom Modernization Facilitator Support,Not Specified,,,W911S026QA004,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-12T17:00:00-05:00,2026-06-08,561210,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.MISSION INSTALLATION CONTRACTING COMMAND.FDO EUSTIS.W6QM MICC-FDO FT EUSTIS,https://sam.gov/workspace/contract/opp/25934e1bfbb446f18b86663a8dc291e1/view,2027-06-08,021.2100.AMC.ACC.MICC.FDO EUSTIS.W911S0,SDVOSBC,561210,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6436e2f37a73460eb69ed11370954554/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/83a86923bba8455e9ae3c0a8321848fc/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/ad4b179272b94618afb51c481b112bbb/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e006a09ad12f4a08a2ef4c295daf5ffe/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e3b673bf33044cb7843ece93463939ec/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e768fc7e7fc6483187d147cac20088d0/download']",,,Solicitation
Solicitation,Z--Verona-Great Falls 161KV Transmission Line Rebuild,Not Specified,,,89503426BWA000065,,Total Small Business Set-Aside (FAR 19.5),2026-06-15T15:30:00-05:00,2026-06-02,237130,Yes,OFFICE,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-UPPER GREAT PLAINS REGION",https://sam.gov/workspace/contract/opp/74f7a37dc0df42658c9a2b914e3e7b42/view,2026-06-30,089.8900.895034,SBA,237130,,,,Solicitation
Solicitation,Z2DA--519-20-200 VABS Replace Boiler Plant Solicitation 36C25726B0006,"Big Spring, Texas",,,36C25726B0006,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-16T10:00:00-05:00,2026-05-21,237130,Yes,OFFICE,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.257-NETWORK CONTRACT OFFICE 17 (36C257)",https://sam.gov/workspace/contract/opp/d45a084a5c254e4e9d892c5fc641d479/view,2026-07-01,036.3600.36C257,SDVOSBC,237130,,,,Solicitation
Solicitation, Base Operations Support (BOS) Services at Naval Air Station (NAS) Whiting Field and Outlying Areas,Not Specified,,,N6945026R0064,,Total Small Business Set-Aside (FAR 19.5),2026-06-25T14:00:00-04:00,2026-06-11,561210,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVFAC.NAVFAC ATLANTIC CMD.NAVFAC SOUTHEAST.NAVFACSYSCOM SOUTHEAST,https://sam.gov/workspace/contract/opp/dfd4d3bb762442419922173eba2ba345/view,2027-06-11,017.1700.NAVFAC.NAVFAC ATLANTIC CMD.NAVFAC SOUTHEAST.N69450,SBA,561210,,,,Solicitation
Solicitation,Anniston Army Depot (ANAD) Power Generation and Microgrid Project,"Anniston, Alabama",,,W912QR26RA033,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-29T14:00:00-04:00,2026-06-15,237130,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION GREAT LAKES AND OHIO.ENDIST LOUISVILLE.W072 ENDIST LOUISVILLE,https://sam.gov/workspace/contract/opp/71397e29ff6a4731a66d5609c5b750cf/view,2026-07-14,021.2100.USACE.LRD.LRL.W912QR,SDVOSBC,237130,,,,Solicitation
Special Notice,Special Notice: Forthcoming Solicitation for Building Control System (BCS) and Utility Control System (UCS) Maintenance and Support Services,Not Specified,,,SP470525R002026,,Total Small Business Set-Aside (FAR 19.5),2026-06-30T14:00:00-04:00,2026-05-13,561210,Yes,MAJOR COMMAND,DEPT OF DEFENSE.DEFENSE LOGISTICS AGENCY.DCSO,https://sam.gov/workspace/contract/opp/d16a10f2aae140ed8a4e9cda6e6aedfc/view,2026-07-15,097.97AS.DCSO,SBA,561210,,,,Special Notice
Presolicitation,178th Wing Base Microgrid Construction,"Springfield, Ohio",,"$5,000,000 and $10,000,000 | $45,000,000 | $5,000,000",WAAR209001,,Total Small Business Set-Aside (FAR 19.5),2026-06-01T16:00:00-04:00,2026-05-15,237130,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE ARMY.NATIONAL GUARD BUREAU.JFHQ USPFO OH.USPFO OH PROCUREMENT.W7NU USPFO ACTIVITY OHANG 178,https://sam.gov/workspace/contract/opp/220298d38ef045708cfa78346ed2dc5e/view,2026-06-16,021.2100.NGB.JFHQ USPFO OH.USPFO OH PROC.W50S8Q,SBA,237130,,,,Presolicitation
Presolicitation,"J061--PROJECT 675-25-804, Bid-Build (BB) Install Water Tower  Projector System at Lake Nona","Orlando, Florida",,,36C24826R0107,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-15T11:00:00-04:00,2026-05-28,238210,Yes,OFFICE,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.248-NETWORK CONTRACT OFFICE 8 (36C248)",https://sam.gov/workspace/contract/opp/3372c74b2b3240c5bf7028e6312a3691/view,2026-09-22,036.3600.36C248,SDVOSBC,238210,"['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/082ac47643b143a48a936068acbdff95/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0daf3e829f7c47e8a9875d1bc7722235/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/0ef48a6b035640f0836998ed1954aee6/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/306c77ef390b47c48ed23a373cb48174/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/3bafccda0f16407e9dcbac4d3ba8d4a7/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/4e68aa453c4d462ca78e72f63d2e848a/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/61b5ef0ed280481bba31d7c0c6353223/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/68f8fb29258a44e08f3b6d34b8aeb0cd/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8b9394163ec547b19967eb6c389db26c/download', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/c8c8ea1838fa4c22b5a0360da65f5f68/download']",,{'awardee': {}},Presolicitation
Solicitation,"Cottonwood Substation Construction, Stage 02, Phas",Not Specified,,,89503326BWA000019,,Total Small Business Set-Aside (FAR 19.5),2026-07-06T15:00:00-07:00,2026-06-02,237130,Yes,OFFICE,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-SIERRA NEVADA REGION",https://sam.gov/workspace/contract/opp/253b0b4b621a4fd5b2bba90f45463868/view,2026-07-21,089.8900.895033,SBA,237130,,,,Presolicitation
Presolicitation,Electrical,"Richmond, Kentucky",,$19M,W519TC26R2024,,Total Small Business Set-Aside (FAR 19.5),2026-05-28T04:00:00-04:00,2026-05-12,238210,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE ARMY.W0L7 BLUE GRASS ARMY DEPOT,https://sam.gov/workspace/contract/opp/bfeb7541a3eb4e679b0b7113a054de5c/view,2026-06-12,021.2100.W22G1F,SBA,238210,,,,Presolicitation
Presolicitation,J059--Triennial Electical Panel Maintenance and Survey,Not Specified,,,36C25226Q0359,,Total Small Business Set-Aside (FAR 19.5),2026-06-10T06:00:00-05:00,2026-05-14,238210,Yes,OFFICE,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.252-NETWORK CONTRACT OFFICE 12 (36C252)",https://sam.gov/workspace/contract/opp/7bfe99dd287d4db79cbfcaaa2eb19e36/view,2026-08-09,036.3600.36C252,SBA,238210,['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/797e508f80f44d2b92282f030f0af6ec/download'],,{'awardee': {}},Presolicitation
Solicitation,Carpenter Substation Stage 03 South Dakota,Not Specified,,,89503426BWA000066,,Total Small Business Set-Aside (FAR 19.5),2026-06-26T15:30:00-05:00,2026-05-26,237130,Yes,OFFICE,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-UPPER GREAT PLAINS REGION",https://sam.gov/workspace/contract/opp/42c80e14a2284ef6bf65ccf297972ad8/view,2026-07-11,089.8900.895034,SBA,237130,,,,Presolicitation
Solicitation,"Denison Substation Stage 10, Iowa",Not Specified,,,89503426BWA000067,,Total Small Business Set-Aside (FAR 19.5),2026-06-29T15:30:00-05:00,2026-05-28,237130,Yes,OFFICE,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-UPPER GREAT PLAINS REGION",https://sam.gov/workspace/contract/opp/2a6188f892304b57a8208f6da244ab97/view,2026-07-14,089.8900.895034,SBA,237130,,,,Presolicitation
Presolicitation,Y1DA--CON Project 674A4-21-108 - Upgrade Fire Alarm  System Campus Wide  (Waco) (VA-25-00021609),"Waco, Texas",,"$5,000,000,000 and $10,000,000 | $19 M | $5,000,000,000",36C25726B0007,,Service-Disabled Veteran-Owned Small Business Set Aside,,2026-05-15,238210,Yes,OFFICE,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.257-NETWORK CONTRACT OFFICE 17 (36C257)",https://sam.gov/workspace/contract/opp/634800be6f2942bfa32758b01d7fc8c0/view,2026-06-10,036.3600.36C257,SDVOSBC,238210,,,{'awardee': {}},Presolicitation
Solicitation,Z--WATER TOWER REFURBISHMENT,Not Specified,,$45.0 million,140G0126Q0123,,Total Small Business Set-Aside (FAR 19.5),2026-05-27T10:00:00-07:00,2026-05-21,237110,Yes,OFFICE,"INTERIOR, DEPARTMENT OF THE.US GEOLOGICAL SURVEY.OFC OF ACQUSITION  GRANTS-NATIONAL",https://sam.gov/workspace/contract/opp/2674335730314335a54b832810b5b862/view,2026-06-11,014.1434.140G01,SBA,237110,,,,Solicitation
Solicitation,"Weeks Brook Bridge Railing Repair, Franklin Falls Dam, Sanbornton, NH",Not Specified,,"$25,000 and $100,000 | $25,000 | $100,000",W912WJ26QA100,,Total Small Business Set-Aside (FAR 19.5),2026-06-08T17:00:00-04:00,2026-06-02,237310,Yes,OFFICE,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTH ATLANTIC.ENDIST NEW ENGLAND.W2SD ENDIST NEW ENGLAND,https://sam.gov/workspace/contract/opp/1146e0e57d90422097c9fe8ad4a6a15b/view,2026-06-23,021.2100.USACE.NAD.NAE.W912WJ,SBA,237310,,,,Solicitation
Solicitation,USDA NRCS-Ohio EWP Green Township - Blessing Road,"Patriot, Ohio",,,12FPC326B0003,,Total Small Business Set-Aside (FAR 19.5),2026-05-19T13:00:00-04:00,2026-05-18,237990,Yes,OFFICE,"AGRICULTURE, DEPARTMENT OF.FARM PRODUCTION AND CONSERVATION BUSINESS CENTER.FPAC BUS CNTR-ACQ DIV",https://sam.gov/workspace/contract/opp/61c1c115e72645fa896388ce49b09659/view,2026-06-03,012.12D0.12FPAC,SBA,237990,,,,Solicitation
Solicitation,RFQ 6923G226Q000016 Yocum Sailing removal & installation,"Kings Point, New York",,,6323G226Yocum,,Total Small Business Set-Aside (FAR 19.5),2026-05-26T14:00:00-04:00,2026-05-19,237120,Yes,OFFICE,"TRANSPORTATION, DEPARTMENT OF.MARITIME ADMINISTRATION.693JF7 DOT  MARITIME ADMINISTRATION",https://sam.gov/workspace/contract/opp/959f49eff3c24de6987410eb37827a40/view,2026-12-12,069.6938.693JF7,SBA,237120,,,,Solicitation
Solicitation,Z--REPLACE DAMAGED FIBER LINE,Not Specified,,"$45.0 million | $25,000",140P8526Q0053,,Total Small Business Set-Aside (FAR 19.5),2026-05-28T12:00:00-07:00,2026-05-18,237130,Yes,OFFICE,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.PWR SF/SEA MABO(85000)",https://sam.gov/workspace/contract/opp/2081b3df81f9451cb4f8406f8d11c42c/view,2026-06-12,014.1443.140P85,SBA,237130,,,,Solicitation
Solicitation,Fire Prevention System Inspection & Maintenance Services,"Lebanon, Kentucky",,,36C24926Q0222,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-05-29T17:00:00-04:00,2026-05-18,561210,Yes,OFFICE,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.249-NETWORK CONTRACT OFFICE 9 (36C249)",https://sam.gov/workspace/contract/opp/8962dace88004f80a0eeba19d8279b93/view,2026-06-13,036.3600.36C249,SDVOSBC,561210,,,,Solicitation
Solicitation,Z--NACE REVITALIZE PARK ACCESS POINTS,Not Specified,,,140P1326Q0024,,Total Small Business Set-Aside (FAR 19.5),2026-06-02T12:00:00-04:00,2026-05-19,237310,Yes,OFFICE,"INTERIOR, DEPARTMENT OF THE.NATIONAL PARK SERVICE.IMR SANTA FE(12100)",https://sam.gov/workspace/contract/opp/2e9d817a9a3f47d4b691aaa73d71db2c/view,2026-06-17,014.1443.140P13,SBA,237310,,,,Solicitation
Solicitation,"T-Rail Replacement With 3/8"" Safety Cable",Not Specified,,,89503426QWA001268,,Total Small Business Set-Aside (FAR 19.5),2026-06-05T16:30:00-05:00,2026-05-19,237130,Yes,OFFICE,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.WESTERN-UPPER GREAT PLAINS REGION",https://sam.gov/workspace/contract/opp/0eee78a8a97d47df954ce55c4c6c2fef/view,2026-06-20,089.8900.895034,SBA,237130,,,,Solicitation
Solicitation,656-26-702  EHRM DDPO 2.0,"Saint Cloud, Minnesota",,,36C26326B0028-0001,,Service-Disabled Veteran-Owned Small Business Set Aside,2026-06-08T10:00:00-05:00,2026-05-19,238210,Yes,OFFICE,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.NETWORK CONTRACT OFFICE 23 (36C263)",https://sam.gov/workspace/contract/opp/c01f679d078545f6913864c0f55675d4/view,2026-12-31,036.3600.36C263,SDVOSBC,238210,,,,Presolicitation
